iter	Passed	Remaining
263	27809	77529
264	27897	77375
265	27968	77175
266	28052	77012
267	28138	76857
268	28222	76693
269	28302	76522
270	28389	76369
271	28475	76214
272	28561	76058
273	28668	75961
274	28756	75812
275	28852	75684
276	28942	75542
277	29030	75395
278	29110	75227
279	29198	75080
280	29292	74951
281	29372	74785
282	29453	74622
283	29534	74460
284	29621	74313
285	29711	74175
286	29792	74014
287	29879	73869
288	29968	73729
289	30058	73592
290	30142	73440
291	30230	73299
292	30323	73170
293	30410	73027
294	30497	72884
295	30580	72733
296	30673	72604
297	30756	72454
298	30833	72288
299	30915	72136
300	31004	71999
301	31094	71867
302	31177	71719
303	31259	71568
304	31346	71429
305	31437	71299
306	31528	71169
307	31620	71044
308	31704	70899
309	31791	70761
310	31882	70632
311	31962	70482
312	32050	70347
313	32135	70207
314	32228	70085
315	32303	69923
316	32378	69762
317	32460	69617
318	32543	69474
319	32635	69350
320	32720	69213
321	32801	69065
322	32887	68931
323	32975	68801
324	33049	68642
325	33127	68489
326	33214	68358
327	33303	68230
328	33386	68091
329	33462	67939
330	33547	67804
331	33634	67674
332	33719	67539
333	33802	67402
334	33890	67275
335	33971	67133
336	34050	66990
337	34138	66862
338	34224	66733
339	34309	66601
340	34394	66469
341	34478	66335
342	34563	66204
343	34641	66061
344	34722	65922
345	34809	65796
346	34885	65649
347	34966	65512
348	35052	65385
349	35136	65253
350	35221	65124
351	35307	64998
352	35386	64858
353	35476	64738
354	35566	64621
355	35651	64493
356	35730	64355
357	35817	64230
358	35899	64099
359	35979	63963
360	36063	63835
361	36147	63708
362	36232	63582
363	36316	63454
364	36400	63326
365	36493	63215
366	36582	63098
367	36671	62979
368	36764	62868
369	36845	62736
370	36931	62614
371	37018	62493
372	37096	62358
373	37179	62230
374	37260	62101
375	37346	61979
376	37430	61854
377	37513	61728
378	37599	61606
379	37680	61478
380	37754	61339
381	37842	61220
382	37922	61091
383	38016	60984
384	38100	60861
385	38186	60742
386	38275	60627
387	38354	60498
388	38436	60372
389	38520	60249
390	38607	60133
391	38691	60010
392	38774	59888
393	38865	59777
394	38950	59657
395	39036	59541
396	39124	59426
397	39207	59304
398	39296	59190
399	39379	59069
400	39466	58953
401	39562	58851
402	39655	58745
403	39743	58631
404	39832	58519
405	39916	58400
406	40006	58288
407	40085	58162
408	40176	58053
409	40259	57934
410	40343	57816
411	40422	57690
412	40514	57582
413	40609	57480
414	40700	57373
415	40782	57252
416	40863	57129
417	40956	57025
418	41048	56918
419	41132	56802
420	41214	56682
421	41288	56551
422	41376	56439
423	41462	56326
424	41547	56210
425	41645	56114
426	41727	55994
427	41808	55874
428	41889	55755
429	41969	55633
430	42051	55515
431	42132	55397
432	42218	55283
433	42307	55175
434	42388	55055
435	42469	54937
436	42552	54822
437	42652	54727
438	42738	54615
439	42820	54499
440	42907	54388
441	42988	54271
442	43074	54158
443	43155	54042
444	43235	53922
445	43308	53795
446	43388	53677
447	43464	53554
448	43557	53452
449	43645	53344
450	43725	53227
451	43812	53118
452	43899	53008
453	43988	52902
454	44075	52793
455	44161	52683
456	44242	52567
457	44323	52452
458	44413	52347
459	44496	52235
460	44593	52138
461	44695	52047
462	44779	51936
463	44865	51826
464	44943	51709
465	45032	51604
466	45123	51500
467	45207	51389
468	45288	51275
469	45377	51170
470	45464	51063
471	45546	50950
472	45644	50855
473	45727	50744
474	45821	50644
475	45902	50531
476	45992	50427
477	46110	50354
478	46215	50268
479	46301	50160
480	46390	50055
481	46479	49950
482	46566	49844
483	46657	49742
484	46771	49664
485	46879	49579
486	46995	49504
487	47106	49423
488	47223	49348
489	47335	49267
490	47445	49184
491	47527	49072
492	47643	48996
493	47759	48919
494	47851	48818
495	47938	48711
496	48048	48628
497	48156	48543
498	48270	48463
499	48360	48360
500	48462	48269
501	48543	48156
502	48620	48040
503	48705	47932
504	48791	47825
505	48874	47715
506	48976	47623
507	49066	47521
508	49158	47419
509	49242	47311
510	49322	47199
511	49410	47094
512	49494	46985
513	49576	46875
514	49652	46760
515	49746	46661
516	49827	46550
517	49912	46444
518	50001	46340
519	50078	46226
520	50155	46112
521	50235	46001
522	50328	45902
523	50407	45790
524	50506	45696
525	50583	45583
526	50667	45475
527	50753	45370
528	50834	45260
529	50924	45159
530	51008	45052
531	51097	44950
532	51188	44849
533	51271	44742
534	51362	44642
535	51452	44540
536	51536	44434
537	51631	44338
538	51714	44230
539	51800	44126
540	51887	44023
541	51973	43918
542	52062	43817
543	52148	43712
544	52233	43607
545	52318	43502
546	52409	43402
547	52494	43298
548	52580	43194
549	52673	43096
550	52761	42994
551	52848	42891
552	52932	42786
553	53021	42685
554	53106	42580
555	53192	42477
556	53277	42373
557	53364	42271
558	53458	42173
559	53548	42074
560	53635	41971
561	53717	41865
562	53821	41776
563	53921	41683
564	54001	41576
565	54089	41474
566	54178	41374
567	54262	41269
568	54345	41164
569	54430	41061
570	54516	40958
571	54605	40858
572	54694	40758
573	54782	40657
574	54870	40556
575	54957	40454
576	55045	40354
577	55136	40255
578	55224	40154
579	55312	40053
580	55397	39951
581	55483	39848
582	55566	39744
583	55664	39651
584	55749	39548
585	55837	39448
586	55924	39347
587	56003	39240
588	56101	39147
589	56180	39040
590	56267	38939
591	56355	38839
592	56439	38737
593	56527	38636
594	56618	38538
595	56703	38436
596	56788	38334
597	56877	38235
598	56976	38142
599	57062	38041
600	57150	37942
601	57238	37842
602	57324	37740
603	57414	37642
604	57495	37538
605	57581	37437
606	57672	37339
607	57764	37242
608	57851	37142
609	57930	37037
610	58018	36937
611	58103	36836
612	58189	36736
613	58275	36635
614	58358	36533
615	58440	36430
616	58535	36335
617	58624	36237
618	58716	36140
619	58805	36042
620	58895	35944
621	58975	35840
622	59072	35746
623	59162	35649
624	59252	35551
625	59343	35454
626	59431	35355
627	59516	35254
628	59610	35159
629	59695	35059
630	59785	34961
631	59866	34858
632	59950	34758
633	60038	34659
634	60124	34559
635	60208	34459
636	60285	34354
637	60369	34253
638	60451	34151
639	60539	34053
640	60629	33956
641	60720	33859
642	60814	33765
643	60911	33671
644	61002	33575
645	61077	33469
646	61161	33369
647	61244	33268
648	61335	33172
649	61415	33069
650	61494	32967
651	61587	32872
652	61678	32775
653	61773	32681
654	61870	32588
655	61956	32489
656	62050	32394
657	62138	32297
658	62230	32201
659	62320	32104
660	62406	32006
661	62496	31909
662	62591	31814
663	62679	31717
664	62771	31621
665	62860	31524
666	62945	31425
667	63028	31325
668	63119	31229
669	63208	31132
670	63303	31038
671	63387	30938
672	63486	30847
673	63571	30748
674	63652	30647
675	63737	30548
676	63829	30453
677	63914	30354
678	64012	30262
679	64101	30165
680	64191	30069
681	64282	29973
682	64376	29878
683	64469	29784
684	64558	29687
685	64654	29594
686	64739	29495
687	64835	29402
688	64916	29302
689	65002	29203
690	65083	29103
691	65167	29005
692	65258	28909
693	65346	28812
694	65442	28719
695	65526	28620
696	65615	28524
697	65698	28425
698	65789	28329
699	65873	28231
700	65966	28137
701	66049	28038
702	66132	27939
703	66221	27843
704	66335	27757
705	66427	27662
706	66520	27567
707	66615	27474
708	66708	27379
709	66803	27285
710	66883	27186
711	66966	27087
712	67055	26991
713	67144	26895
714	67232	26798
715	67322	26703
716	67408	26606
717	67495	26509
718	67582	26412
719	67666	26314
720	67750	26216
721	67836	26119
722	67931	26026
723	68020	25930
724	68110	25835
725	68189	25735
726	68274	25638
727	68363	25542
728	68454	25447
729	68544	25351
730	68640	25258
731	68722	25160
732	68810	25064
733	68896	24967
734	68981	24871
735	69074	24776
736	69164	24681
737	69251	24585
738	69333	24487
739	69421	24391
740	69505	24294
741	69597	24199
742	69710	24112
743	69804	24018
744	69894	23923
745	69987	23829
746	70067	23731
747	70150	23633
748	70240	23538
749	70320	23440
750	70410	23345
751	70504	23251
752	70592	23155
753	70684	23061
754	70771	22965
755	70860	22870
756	70954	22776
757	71040	22680
758	71126	22584
759	71213	22488
760	71300	22392
761	71397	22299
762	71488	22205
763	71574	22109
764	71666	22015
765	71755	21920
766	71841	21823
767	71927	21728
768	72015	21632
769	72106	21538
770	72200	21444
771	72291	21350
772	72379	21254
773	72466	21159
774	72562	21066
775	72652	20971
776	72741	20876
777	72833	20782
778	72915	20685
779	73005	20591
780	73095	20496
781	73181	20401
782	73275	20307
783	73367	20213
784	73459	20119
785	73554	20026
786	73642	19931
787	73725	19834
788	73813	19739
789	73913	19648
790	73998	19551
791	74081	19455
792	74171	19361
793	74256	19265
794	74336	19168
795	74426	19074
796	74520	18980
797	74612	18886
798	74697	18791
799	74794	18698
800	74887	18604
801	74975	18510
802	75066	18416
803	75162	18323
804	75252	18228
805	75342	18134
806	75426	18038
807	75519	17945
808	75612	17851
809	75697	17756
810	75785	17661
811	75875	17567
812	75969	17473
813	76058	17379
814	76150	17285
815	76240	17191
816	76327	17096
817	76419	17002
818	76515	16909
819	76605	16815
820	76689	16720
821	76777	16625
822	76868	16531
823	76955	16437
824	77038	16341
825	77124	16246
826	77219	16153
827	77319	16061
828	77409	15967
829	77496	15872
830	77581	15777
831	77670	15683
832	77762	15589
833	77852	15495
834	77942	15401
835	78024	15306
836	78108	15211
837	78195	15116
838	78291	15023
839	78381	14929
840	78473	14836
841	78558	14741
842	78651	14647
843	78741	14554
844	78828	14459
845	78919	14365
846	79002	14270
847	79090	14176
848	79176	14082
849	79266	13988
850	79356	13894
851	79445	13800
852	79534	13706
853	79618	13611
854	79708	13517
855	79790	13422
856	79872	13327
857	79969	13234
858	80057	13140
859	80140	13046
860	80238	12953
861	80320	12858
862	80415	12765
863	80502	12671
864	80602	12579
865	80689	12485
866	80773	12390
867	80859	12296
868	80945	12202
869	81029	12107
870	81118	12014
871	81197	11918
872	81280	11824
873	81370	11730
874	81456	11636
875	81548	11543
876	81643	11450
877	81725	11355
878	81818	11262
879	81910	11169
880	82009	11077
881	82097	10983
882	82190	10890
883	82283	10797
884	82381	10704
885	82473	10611
886	82562	10518
887	82644	10423
888	82732	10329
889	82819	10236
890	82905	10142
891	82997	10048
892	83090	9955
893	83179	9862
894	83273	9769
895	83365	9676
896	83454	9582
897	83540	9489
898	83639	9396
899	83719	9302
900	83805	9208
901	83893	9114
902	83975	9020
903	84063	8927
904	84153	8833
905	84238	8740
906	84331	8647
907	84419	8553
908	84510	8460
909	84605	8367
910	84696	8274
911	84782	8180
912	84862	8086
913	84947	7992
914	85045	7900
915	85135	7807
916	85220	7713
917	85298	7619
918	85391	7526
919	85479	7432
920	85576	7340
921	85668	7247
922	85762	7154
923	85852	7061
924	85936	6967
925	86024	6874
926	86116	6781
927	86202	6688
928	86290	6594
929	86379	6501
930	86463	6408
931	86549	6314
932	86638	6221
933	86731	6128
934	86820	6035
935	86907	5942
936	87004	5849
937	87090	5756
938	87186	5663
939	87272	5570
940	87363	5477
941	87452	5384
942	87539	5291
943	87636	5198
944	87726	5105
945	87810	5012
946	87904	4919
947	87986	4826
948	88065	4732
949	88150	4639
950	88246	4546
951	88333	4453
952	88418	4360
953	88502	4267
954	88591	4174
955	88671	4081
956	88762	3988
957	88872	3896
958	88958	3803
959	89069	3711
960	89153	3618
961	89256	3525
962	89372	3433
963	89466	3341
964	89538	3247
965	89619	3154
966	89710	3061
967	89791	2968
968	89875	2875
969	89977	2782
970	90083	2690
971	90168	2597
972	90282	2505
973	90397	2413
974	90493	2320
975	90576	2227
976	90672	2134
977	90741	2041
978	90804	1947
979	90874	1854
980	90929	1761
981	90980	1667
982	91028	1574
983	91071	1480
984	91117	1387
985	91159	1294
986	91200	1201
987	91243	1108
988	91279	1015
989	91316	922
990	91364	829
991	91399	737
992	91426	644
993	91453	552
994	91483	459
995	91515	367
996	91542	275
997	91572	183
998	91601	91
999	91629	0
78	0
999	93340	0
